title,description,status,year,jurisdiction,source,datePromulgated,yearEnded,learnMore,learnMoreLanguage,dateModified,countries,states,technologies,tags,policyType
Australian Renewable Agency (ARENA) grant for Hydrogen-powered eVTOL Technology,<div>ARENA will provide a AUD 5.43 million in grant funding to support development and manufacturing of zero-emission aircraft.</div>,Announced,2023,National,International Energy Agency,,,https://arena.gov.au/news/renewable-hydrogen-takes-to-the-skies/,,1750778177118,"[{""iso3"":""AUS"",""name"":""Australia""}]",[],"[""Aircraft""]","[""Government Energy Spending""]","[{""topic"":""Transport"",""family"":""Incentives and investments"",""name"":""Government spending in active mobility"",""category"":null}]"
EU-Chile Advanced Framework Agreement,"<div>Chile and the European Union concluded an Association Agreement in 2002 which entered into force in February 2003. The existing EU-Chile Association Agreement is currently being modernised through the Advanced Framework Agreement, and an Interim Trade Agreement. If approved, the new agreement will remove most the remaining trade tariffs on goods, including those products who benefits already from preferential tariffs, including but not limited to: <br><br></div><ul><li>Agglomerated and reduced iron;</li><li>Alumina, scrap metal;</li><li>Ammonia, crude steel;</li><li>Aluminum, nitrogen fertilizers;</li><li>Solar PV modules, solar cells, solar wafers;</li><li>Polysilicon;</li><li>Battery packs, battery cells;</li><li>Anodes and cathodes;</li><li>Electrolysers;</li><li>Heat pumps, electric vehicles, ICE cars;</li></ul><div><br>Rules of origin delineated in the Advanced Framework Agreement include provisions preventing goods only undergoing minimal transformations in one of the signatory countries or incorporating materials of external origin above 15 per cent of the ex-works price of the product to benefit from preferential tariff treatment. </div>",Announced,2024,National,International Energy Agency,01-02-2003,,https://www.subrei.gob.cl/acuerdos-comerciales/acuerdos-comerciales-vigentes/uni%C3%B3n-europea,,1719232039785,"[{""iso3"":""CHL"",""name"":""Chile""},{""iso3"":""EUR"",""name"":""European Union""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""},{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Electric light-duty vehicles""}]"
Korea - Philippines Free Trade Agreement,"<div>The Korea - Philippines Free Trade Agreement builds on the Korea - ASEAN Free Trade Agreement (the Philippines is a member state of the ASEAN) to further reduce or eliminate customs duties. The agreement was signed in 2023 and is expected to come in effect during the first half of 2024. The agreement needs to be ratified by the Korean National Assembly and the Filipino Senate in order to come into effect.<br><br>Items whose tariffs are additionally lowered or removed as a result of this Agreement include:</div><ul><li>Imported into the Philippines<ul><li>Commercial Vehicles</li><li>Passenger Vehicles</li><li>Copper wire</li><li>Automobile components</li></ul></li><li>Imported into Korea<ul><li>Commercial vehicles</li><li>Passenger vehicles</li></ul></li></ul><div><br>The Agreement also includes rules of origin and local content provisions. Goods are counted as originating from each country if:</div><ul><li>wholly produced or obtained in the country (applicable largely to minerals, raw materials, and waste and scrap materials)</li><li>meeting requirements included as provisions to the agreement including the following (applicable largely to manufactured goods):<ul><li>RVC not less than 40%</li><li>Change of the HS code at a four-digit level</li><li>Any additional provisions specified for each good</li></ul></li></ul><div><br><br></div>",Announced,2023,International,International Energy Agency,,,https://fta.go.kr/main/situation/kfta/lov3/ph/1/,Korean,1719331203919,"[{""iso3"":""PHL"",""name"":""Philippines""},{""iso3"":""KOR"",""name"":""Korea""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""},{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Electric light-duty vehicles""}]"
Korea - Ecuador Strategic Economic Cooperation Agreement,"<div>The Korea - Ecuador Strategic Economic Cooperation Agreement (SECA) is intended to establish a free trade area between the two countries by eliminating or reducing tariff barriers per the provisions of the agreement. The agreement has NOT been officially signed yet and is NOT yet in effect. Trade representatives from the two countries have signed a provisional agreement announcing the conclusion of negotiations.<br><br>For promulgation, the agreement has to be first officially signed by representatives of the two governments; and then ratified by the Korean and Ecuadorian National Assemblies<br><br>The Agreement covers, among others, the elimination of tariffs for the following goods:</div><ul><li>Electric generation equipment </li><li>Mechanical equipment including pumps, appliances, and other advanced machinery</li><li>Electric motors, transformers, batteries, and capacitors</li><li>Motor vehicles</li><li>Mineral ore and processed products including graphite, manganese, copper, aluminum, and nickel</li><li>Various products manufactured using above minerals and metals such as sheets, powders, bars, and plates</li><li>Photovoltaic cells</li></ul><div><br>The Agreement also includes rules of origin and local content provisions. Goods are counted as originating from each country if:</div><ul><li>wholly produced or obtained in the country (applicable largely to minerals, raw materials, and waste and scrap materials)</li><li>having undergone manufacturing processes that warrant a change in the HS code or meeting regional value content requirements (applicable largely to manufactured goods)</li></ul>",Announced,2023,International,International Energy Agency,,,https://fta.go.kr/main/situation/kfta/lov3/ec/2/,Korean,1719394691493,"[{""iso3"":""KOR"",""name"":""Korea""},{""iso3"":""ECU"",""name"":""Ecuador""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""},{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Electric light-duty vehicles""}]"
MERCOSUR-Cuba Free Trade Agreement ,"<div>The Free Trade Agreement between MERCOSUR and Cuba entered into force in 2007, fully or partially eliminating import tariff for most energy products and technologies, including: <br><br></div><ul><li>Scrap metal (HS Code 720410), Aluminium (HS Code 7601);</li><li>Solar PV modules and cells (HS Code 85414);</li><li>Battery cells (HS Code 850720);</li><li>Electrolysers (HS Code 841989);</li><li>Heat Pumps (HS Code 84159);</li></ul><div><br></div><div>Rules of origin delineated in the Agreement include provisions preventing goods only undergoing minimal transformations in one of the signatory countries or incorporating materials of external origin valued above 50% of the transaction value of the good to benefit from the tariff treatment established by the Agreement.</div>",Announced,2007,International,International Energy Agency,02-07-2007,,https://www2.aladi.org/nsfaladi/textacdos.nsf/4d5c18e55622e1040325749000756112/f85abd0d9bde5004032578af005a1727?OpenDocument,,1720422753019,"[{""iso3"":""CUB"",""name"":""Cuba""},{""iso3"":""BRA"",""name"":""Brazil""},{""iso3"":""ARG"",""name"":""Argentina""},{""iso3"":""PRY"",""name"":""Paraguay""},{""iso3"":""URY"",""name"":""Uruguay""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""},{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Electric light-duty vehicles""}]"
National Resilience and Recovery Plan (NNRP) - coal phase-out,"<div>In its National Resilience and Recovery Plan, the Bulgarian government announced the phase-out of coal use in the electricity sector by 2038 or 2040. </div>",Announced,2020,National,International Energy Agency,,2038,https://www.mlsp.government.bg/natsionalen-plan-za-vzstanovyavane,https://beyondfossilfuels.org/wp-content/uploads/2022/01/overview-of-national-coal-phase-out-commitments-13-January-2022.pdf,1709025746085,"[{""iso3"":""BGR"",""name"":""Bulgaria""}]",[],"[""Coal""]",[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
PPCA - Singapore's coal phase out,"<div>By joining the Powering Past Coal Alliance (PPCA) in 2021, Singapore committed to phasing out the use of unabated coal in its electricity mix by 2050, and to restrict direct government finance of unabated coal power internationally.</div>",Announced,2021,National,International Energy Agency,,2050,https://www.nccs.gov.sg/media/speeches/singapores-national-statement-at-unfccc-cop28-by-senior-minister-teo-chee-hean/,https://www.nccs.gov.sg/media/press-release/sg-phase-out-unabated-coal,1709025746345,"[{""iso3"":""SGP"",""name"":""Singapore""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
China-Serbia Free Trade Agreement,"<div>The Free Trade Agreement between Serbia and China is expected to come into force in July 2024.<br><br>Serbia is to eliminate import tariffs for Chinese products including</div><ul><li>automobiles, </li><li>photovoltaic modules, </li><li>lithium batteries, </li><li>communication equipment, </li><li>machinery and equipment, </li><li>refractory materials, and </li><li>some agricultural and aquatic products, etc. , </li></ul><div>These goods' previous tariff was around 5% to 20%. <br><br>China is to eliminate import tariffs for products from Serbia including </div><ul><li>electric motors, </li><li>tires, </li><li>beef, </li><li>wine, </li><li>nuts, etc. </li></ul><div><br>Rules of origin apply. Goods are counted as originating from each country and thus beneffitting from preferential tariff treatment if</div><ul><li>wholly produced or obtained in the country</li><li>having a regional value content (RVC) over a specific requirement (40% for most products)</li><li>meeting specific standards as defined in the Agreement which mainly cover changes in HS codes</li></ul><div><br><br></div>",Announced,2024,National,International Energy Agency,,,http://fta.mofcom.gov.cn/article/zhengwugk/202310/54717_1.html,,1717685177353,"[{""iso3"":""SRB"",""name"":""Serbia""},{""iso3"":""CHN"",""name"":""People's Republic of China""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""},{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Electric light-duty vehicles""}]"
2050 net zero pathway and strategy - power systems and energy storage,"<div>The government of Chinese Taipei is earmarking specific budget support to strengthen electricity grid operational resilience, build system integration capability and deploy 5.5GW of energy storage capacity by 2030.</div>",Announced,2022,National,International Energy Agency,2022-03-30,2050,https://www.ndc.gov.tw/Content_List.aspx?n=DEE68AAD8B38BD76,,1719181984833,"[{""iso3"":""TWN"",""name"":""Chinese Taipei""}]",[],[],"[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in electricity networks"",""category"":null}]"
Chinese Taipei-Panama Free Trade Agreement,"<div>The Free Trade Agreement between Chinese Taipei and Panama entered into force in 2004, providing for preferential import tariffs for most products traded between them, notably iron and steel, minerals, hydrocarbons, nuclear reactors, quartz reactors, semiconductors, automotive parts etc. <br><br>Rule of origins apply to qualify for preferential tariff treatment : products should be wholly obtained, produced or have undergone a sufficient production process in the territory of the signatories, or satisfy a 55% minimum local value content requirement.</div>",Announced,2004,National,International Energy Agency,01-01-2004,,https://fta.trade.gov.tw/fta_panama.html?1,,1719227173074,"[{""iso3"":""TWN"",""name"":""Chinese Taipei""},{""iso3"":""PAN"",""name"":""Panama""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""},{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Electric light-duty vehicles""}]"
Mexico - Sales ban of gasoline vehicles by 2050,<div>Mexico Commission for Environmental Preservation approved amendments to the Law on Mitigation and Adaptation to Climate Change and Sustainable Development for Mexico City to ban the sale and circulation of all gasoline vehicles by 2050. </div>,Announced,2022,City/Municipal,International Energy Agency,2022-11-09,2050,https://www.congresocdmx.gob.mx/comsoc-comision-aprueba-prohibir-venta-y-circulacion-vehiculos-gasolina-2050-3886-3.html,https://www.congresocdmx.gob.mx/comsoc-comision-aprueba-prohibir-venta-y-circulacion-vehiculos-gasolina-2050-3886-3.html,1709731860632,"[{""iso3"":""MEX"",""name"":""Mexico""}]",[],[],[],"[{""topic"":""Transport"",""family"":""Regulations"",""name"":""ICE sales ban"",""category"":""2-/3-wheelers""},{""topic"":""Transport"",""family"":""Regulations"",""name"":""ICE sales ban"",""category"":""Medium/Heavy-duty vehicles""},{""topic"":""Transport"",""family"":""Regulations"",""name"":""ICE sales ban"",""category"":""Buses""}]"
ICE sales ban,"<div>In 2021, the Italian government made the announcement of phasing out sales of new ICE cars by 2035, vans and light commercial vehicles by 2040.</div>",Announced,2021,National,International Energy Agency,2021-12-10,2035,https://www.mase.gov.it/comunicati/mite-phase-out-auto-nuove-con-motore-combustione-interna-entro-il-2035,https://acceleratingtozero.org/,1709731861065,"[{""iso3"":""ITA"",""name"":""Italy""}]",[],[],[],"[{""topic"":""Transport"",""family"":""Regulations"",""name"":""ICE sales ban"",""category"":""Light-duty vehicles""}]"
Public Transport decarbonisation,<div>100% of sales of urban buses to be ZEVs by 2025 and 100% of stock by 2035.</div>,Announced,2021,National,International Energy Agency,,2035,,https://www.transport.govt.nz/area-of-interest/environment-and-climate-change/public-transport-decarbonisation/,1709731861612,"[{""iso3"":""NZL"",""name"":""New Zealand""}]",[],[],[],"[{""topic"":""Transport"",""family"":""Regulations"",""name"":""ICE sales ban"",""category"":""Buses""}]"
[Announced] Government envisaged support for energy and clean energy technology sectors,"<div>In January 2024, the Presidency of The Republic of Turkiye's Investment Office updated their investment incentives for different areas including priority investments including:</div><ul><li>Mine extraction and processing investment</li><li>Renewable energy components manufacturing including turbines, generators, solar panels and wind blades</li><li>Motor parts investments </li><li>Electricity generation investments with coal-based minerals</li><li>Energy efficiency investments in existing industry facilities</li><li>Liquefied natural gas (LNG) investments and underground natural gas storage investments </li><li>Electricity generation investments from waste heat recovery </li><li>Mineral exploration investments </li><li>Greenhouse investments, including domestically produced greenhouse technologies based on automation</li><li>Nuclear power plant investments </li><li>Manufacturing of software and IT products</li></ul><div><br></div><div>The incentives included VAT Exemption for machinery, construction, customs duty exemption, corporate tax reduction, social security premium support, and interest rate support, with a total support rate that could reach 88.6% of the investment input based on the modelled scenario.</div>",Announced,2024,National,International Energy Agency,,,https://www.invest.gov.tr/en/library/publications/lists/investpublications/guide-to-state-incentives-for-investments-in-turkiye.pdf,,1750778177938,"[{""iso3"":""TUR"",""name"":""Republic of Turkiye""}]",[],"[""Power generation supporting technologies""]","[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""},{""topic"":""Transport"",""family"":""Incentives and investments"",""name"":""Government spending for low-emissions and efficient transport"",""category"":""Other""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Solar PVs""},{""topic"":""Transport"",""family"":""Incentives and investments"",""name"":""Government spending for low-emissions and efficient transport"",""category"":""Light-duty vehicles""},{""topic"":""Transport"",""family"":""Incentives and investments"",""name"":""Government spending for low-emissions and efficient transport"",""category"":""Medium/Heavy-duty vehicles""}]"
Mexico - 2040 Gasoline Car Sales Ban,"<div>Mexico Commission for Environmental Preservation approved amendments to the Law on Mitigation and Adaptation to Climate Change and Sustainable Development for Mexico City to ban the sale and circulation of all gasoline vehicles by 2050. As part of the amendment, only electric cars can be sold by 2040.</div>",Announced,2022,City/Municipal,International Energy Agency,2022-11-09,2040,https://www.congresocdmx.gob.mx/comsoc-comision-aprueba-prohibir-venta-y-circulacion-vehiculos-gasolina-2050-3886-3.html,,1710427764688,"[{""iso3"":""MEX"",""name"":""Mexico""}]",[],[],[],"[{""topic"":""Transport"",""family"":""Regulations"",""name"":""ICE sales ban"",""category"":""Light-duty vehicles""}]"
Singapore Green Plan - Sales ban of ICE vehicles,"<div>In its Green Plan, Singapore commits to phase-out the sale of internal combustion engine (ICE) vehicles by 2040, with an earlier date for cars - 2030. </div>",Announced,2021,National,International Energy Agency,,2040,https://www.greenplan.gov.sg/news/speeches/2021-03-04-mot/,,1710427952752,"[{""iso3"":""SGP"",""name"":""Singapore""}]",[],[],[],"[{""topic"":""Transport"",""family"":""Regulations"",""name"":""ICE sales ban"",""category"":""2-/3-wheelers""},{""topic"":""Transport"",""family"":""Regulations"",""name"":""ICE sales ban"",""category"":""Medium/Heavy-duty vehicles""},{""topic"":""Transport"",""family"":""Regulations"",""name"":""ICE sales ban"",""category"":""Buses""}]"
Government's Principles and Roadmap for Achieving Net Zero Emissions - Phase-out of conventional cars,<div>The government commits to phase-out the sales of conventional cars by 2050 to follow the net zero emission pathway in meeting its climate commitments.</div>,Announced,2021,National,International Energy Agency,2021-10-08,2050,https://ebtke.esdm.go.id/post/2021/10/11/2986/ini.prinsip.dan.peta.jalan.pemerintah.capai.net.zero.emission,,1710428134355,"[{""iso3"":""IDN"",""name"":""Indonesia""}]",[],[],[],"[{""topic"":""Transport"",""family"":""Regulations"",""name"":""ICE sales ban"",""category"":""Light-duty vehicles""}]"
Government's Principles and Roadmap for Achieving Net Zero Emissions - Phase-out of gasoline motorcycles,<div>The government commits to phase out the sales of conventional motorcycles by 2040 to follow the net zero emission pathway in meeting its climate commitments.</div>,Announced,2021,National,International Energy Agency,2021-10-08,2040,https://ebtke.esdm.go.id/post/2021/10/11/2986/ini.prinsip.dan.peta.jalan.pemerintah.capai.net.zero.emission,,1710520871390,"[{""iso3"":""IDN"",""name"":""Indonesia""}]",[],[],[],"[{""topic"":""Transport"",""family"":""Regulations"",""name"":""ICE sales ban"",""category"":""2-/3-wheelers""}]"
